CustID,GENDER,MARITAL_STATUS,BIRTH_DATE,CUSTOMER_SINCE,CUSTOMER_AGE,MoB,CUST_DELETED_DATE,attrition,Time2Event
11941,F     ,M             ,10/1/1925,1/1/1962,44.5,26.48016416,,0,731
10528,F     ,S             ,5/1/1926,12/31/1965,44,24.48290014,,0,731
10371,F     ,W             ,7/1/1926,3/29/1993,44,10.87140903,,0,731
11949,F     ,M             ,7/1/1926,12/31/1977,44,18.4870041,,0,731
10024,F     ,M             ,9/1/1926,12/31/1984,44,14.98905609,,0,731
11859,F     ,M             ,9/1/1926,12/31/1983,44,15.48974008,,0,731
11258,M     ,S             ,1/1/1927,1/1/1966,43.5,24.48153215,,0,731
10907,F     ,M             ,3/1/1927,3/12/1986,43.5,14.39261286,,0,731
11111,M     ,S             ,5/1/1927,6/6/2003,43.5,5.781121751,7/4/2014,1,549
10285,F     ,M             ,5/1/1927,2/11/1984,43.5,15.43228454,,0,731
10648,M     ,M             ,7/1/1927,1/1/1950,43.5,32.47606019,,0,731
10144,M     ,W             ,8/1/1927,1/1/1970,43.5,22.48290014,,0,731
10188,F     ,M             ,10/1/1927,7/9/1993,43.5,10.73187415,,0,731
10635,M     ,M             ,11/1/1927,8/21/1950,43.5,32.15868673,,0,731
10052,F     ,W             ,1/1/1928,8/25/1999,43,7.670314637,,0,731
10915,F     ,W             ,2/1/1928,12/20/2007,43,3.512995896,12/1/2014,1,699
10499,M     ,M             ,3/1/1928,12/10/1976,43,19.01504788,,0,731
11196,M     ,M             ,4/1/1928,11/26/2003,43,5.544459644,,0,731
10823,M     ,M             ,7/1/1928,12/31/1953,43,30.47879617,,0,731
11933,F     ,M             ,1/1/1929,1/16/1986,42.5,14.46785226,,0,731
10919,F     ,M             ,3/1/1929,2/21/1995,42.5,9.922024624,4/4/2014,1,458
10864,M     ,M             ,10/1/1929,3/21/2006,42.5,4.387140903,3/3/2014,1,426
11306,F     ,W             ,10/1/1929,1/1/1984,42.5,15.48837209,,0,731
11696,M     ,M             ,11/1/1929,11/10/1985,42.5,14.55950752,,0,731
10800,F     ,M             ,12/1/1929,11/27/1985,42.5,14.53625171,,0,731
10659,M     ,M             ,1/1/1930,5/1/1977,42.5,18.82079343,,0,731
10717,M     ,M             ,1/1/1930,7/6/1976,42,19.22982216,,0,731
11124,F     ,M             ,7/1/1930,7/11/1930,42,42.20793434,,0,731
11634,F     ,M             ,8/1/1930,4/21/1986,42,14.3378933,,0,731
11825,M     ,M             ,10/1/1930,7/8/1996,42,9.233926129,,0,731
10894,F     ,W             ,12/1/1930,7/4/1975,42,19.73324213,,0,731
11238,M     ,M             ,5/1/1931,9/14/1994,41.5,10.14090287,,0,731
11176,M     ,S             ,7/1/1931,5/21/2000,41.5,7.300957592,,0,731
10148,F     ,W             ,8/1/1931,1/1/1963,41.5,25.98084815,,0,731
11231,F     ,S             ,10/1/1931,12/31/1967,41.5,23.48426813,,0,731
10251,F     ,M             ,1/1/1932,1/1/1932,41.5,41.47058824,11/1/2013,1,304
11516,F     ,M             ,1/1/1932,11/16/2012,41.5,1.060191518,1/3/2014,1,367
11802,F     ,M             ,1/1/1932,8/13/1984,41,15.18057456,,0,731
10821,M     ,M             ,2/1/1932,5/18/1980,41,17.29822161,4/4/2014,1,458
10998,F     ,M             ,2/1/1932,7/9/2010,41,2.238030096,,0,731
11619,F     ,W             ,2/1/1932,8/20/2008,41,3.179206566,,0,731
11719,M     ,M             ,2/1/1932,5/27/1992,41,11.29001368,,0,731
11142,M     ,S             ,4/1/1932,1/16/1987,41,13.96853625,,0,731
11226,M     ,S             ,6/1/1932,8/6/2000,41,7.195622435,5/3/2013,1,122
10525,F     ,M             ,8/1/1932,4/7/1989,41,12.85772914,,0,731
10110,F     ,M             ,3/1/1933,11/22/2002,40.5,6.049247606,,0,731
11606,M     ,M             ,3/1/1933,4/18/1994,40.5,10.34473324,,0,731
10097,M     ,M             ,4/1/1933,10/5/1963,40.5,25.60191518,,0,731
11889,M     ,M             ,5/1/1933,1/1/1977,40.5,18.98495212,,0,731
10397,F     ,W             ,7/1/1933,10/31/1983,40.5,15.57318741,,0,731
11660,F     ,M             ,10/1/1933,11/27/1990,40.5,12.03830369,,0,731
10985,M     ,M             ,12/1/1933,10/7/1992,40.5,11.10807114,,0,731
10406,F     ,M             ,1/1/1934,1/1/1967,40.5,23.98221614,,0,731
11655,F     ,M             ,2/1/1934,2/23/1934,40,40.39808482,,0,731
11621,M     ,M             ,3/1/1934,9/25/1995,40,9.626538988,,0,731
10158,M     ,M             ,4/1/1934,1/16/1998,40,8.471956224,,0,731
11454,M     ,S             ,5/1/1934,5/24/1997,40,8.796169631,,0,731
11567,F     ,M             ,5/1/1934,3/1/1981,40,16.90560876,,0,731
10831,F     ,M             ,7/1/1934,12/31/1985,40,14.48974008,,0,731
11062,M     ,M             ,8/1/1934,1/15/1999,40,7.974008208,6/2/2014,1,517
10111,F     ,M             ,9/1/1934,2/5/1968,40,23.43502052,,0,731
11541,M     ,M             ,10/1/1934,10/26/1989,40,12.58139535,,0,731
10157,M     ,F             ,12/1/1934,10/3/1989,40,12.6128591,,0,731
10670,F     ,M             ,1/1/1935,5/17/1995,40,9.805745554,5/2/2014,1,486
10262,F     ,M             ,1/1/1935,3/9/1971,39.5,21.89192886,,0,731
10363,M     ,S             ,6/1/1935,10/8/2012,39.5,1.113543092,12/2/2013,1,335
11600,F     ,M             ,6/1/1935,7/18/2006,39.5,4.224350205,1/2/2015,1,731
10366,F     ,M             ,8/1/1935,9/11/1985,39.5,14.64158687,4/2/2013,1,91
10446,M     ,M             ,9/1/1935,8/21/1984,39.5,15.16963064,,0,731
11157,M     ,S             ,9/1/1935,10/29/2009,39.5,2.584131327,,0,731
